type	study.study_short_name	image_collection_id	image_collection_name	image_type_included	image_collection_url	repository_name	collection_access
image_collection	CMB	CMB-PCA-TCIA	CMB-PCA	CT * MR * NM	https://www.cancerimagingarchive.net/collection/cmb-pca/	TCIA	Download
image_collection	CMB	CMB-PCA-IDC	CMB-PCA	CT * MR * NM	https://portal.imaging.datacommons.cancer.gov/explore/filters/?collection_id=cmb_pca	IDC	Unrestricted
image_collection	CMB	CMB-MML-TCIA	CMB-MML	CT * MR * PT	https://www.cancerimagingarchive.net/collection/cmb-mml/	TCIA	Download
image_collection	CMB	CMB-MML-IDC	CMB-MML	CT * MR * PT	https://portal.imaging.datacommons.cancer.gov/explore/filters/?collection_id=cmb_mml	IDC	Unrestricted
image_collection	CMB	CMB-MEL-TCIA	CMB-MEL	CT * PT * US	https://www.cancerimagingarchive.net/collection/cmb-mel/	TCIA	Download
image_collection	CMB	CMB-MEL-IDC	CMB-MEL	CT * PT * US	https://portal.imaging.datacommons.cancer.gov/explore/filters/?collection_id=cmb_mel	IDC	Unrestricted
image_collection	CMB	CMB-LCA-TCIA	CMB-LCA	CT * DX * MR * NM * US	https://www.cancerimagingarchive.net/collection/cmb-lca/	TCIA	Download
image_collection	CMB	CMB-LCA-IDC	CMB-LCA	CT * DX * MR * NM * US	https://portal.imaging.datacommons.cancer.gov/explore/filters/?collection_id=cmb_lca	IDC	Unrestricted
image_collection	CMB	CMB-GEC-TCIA	CMB-GEC	CT * PT	https://www.cancerimagingarchive.net/collection/cmb-gec/	TCIA	Download
image_collection	CMB	CMB-GEC-IDC	CMB-GEC	CT * PT	https://portal.imaging.datacommons.cancer.gov/explore/filters/?collection_id=cmb_gec	IDC	Unrestricted
image_collection	CMB	CMB-CRC-TCIA	CMB-CRC	CT * DX * MR * PT * US	https://www.cancerimagingarchive.net/collection/cmb-crc/	TCIA	Download
image_collection	CMB	CMB-CRC-IDC	CMB-CRC	CT * DX * MR * PT * US	https://portal.imaging.datacommons.cancer.gov/explore/filters/?collection_id=cmb_crc	IDC	Unrestricted
