repo https://github.com/CBIIT/ctdc-model
commit 7952271
node	property	value_or_TYPE
associated_link	associated_link_name	STRING
associated_link	associated_link_record_id	STRING
associated_link	associated_link_url	STRING
associated_link	crdc_id	STRING
data_file	crdc_id	STRING
data_file	data_file_checksum_type	md5sum
data_file	data_file_checksum_value	STRING
data_file	data_file_compression_status	Compressed
data_file	data_file_compression_status	Uncompressed
data_file	data_file_compression_status	Unknown
data_file	data_file_description	STRING
data_file	data_file_format	docx
data_file	data_file_format	gz
data_file	data_file_format	pdf
data_file	data_file_format	vcf
data_file	data_file_format	zip
data_file	data_file_location	STRING
data_file	data_file_name	STRING
data_file	data_file_size	NUMBER
data_file	data_file_type	Clinical Report
data_file	data_file_type	File Collection
data_file	data_file_type	Variant Call File
data_file	data_file_type	Variant Report
data_file	data_file_uuid	STRING
demographic	age_at_enrollment	NUMBER (years)
demographic	body_surface_area	NUMBER (m2)
demographic	crdc_id	STRING
demographic	demographic_record_id	STRING
demographic	ethnicity	Hispanic or Latino
demographic	ethnicity	Not Hispanic or Latino
demographic	ethnicity	Not reported
demographic	ethnicity	Unknown
demographic	height	NUMBER (cm)
demographic	highest_level_of_education	Bachelor's degree
demographic	highest_level_of_education	Declined to answer
demographic	highest_level_of_education	Doctoral or professional degree
demographic	highest_level_of_education	Grade school
demographic	highest_level_of_education	High school graduate (including equivalency)
demographic	highest_level_of_education	Master's degree
demographic	highest_level_of_education	No formal education
demographic	highest_level_of_education	Not high school graduate
demographic	highest_level_of_education	Some college or Associate degree
demographic	income	STRING
demographic	ncbi_taxonomy_id	INTEGER
demographic	ncbi_taxonomy_name	STRING
demographic	occupation	STRING
demographic	race	American Indian or Alaska Native
demographic	race	Asian
demographic	race	Black or African American
demographic	race	Native Hawaiian or other Pacific Islander
demographic	race	Not Reported
demographic	race	Unknown
demographic	race	White
demographic	sex	Female
demographic	sex	Intersex
demographic	sex	Male
demographic	sex	Unknown
demographic	weight	NUMBER (kg)
diagnosis	crdc_id	STRING
diagnosis	ctep_disease_term	Acute Myeloid Leukemia Not Otherwise Specified
diagnosis	ctep_disease_term	Adenocarcinoma of the Gastroesophageal Junction
diagnosis	ctep_disease_term	Colorectal Carcinoma
diagnosis	ctep_disease_term	Invasive Breast Carcinoma
diagnosis	ctep_disease_term	Melanoma
diagnosis	ctep_disease_term	Non-Small Cell Lung Carcinoma
diagnosis	ctep_disease_term	Ovarian Carcinoma
diagnosis	ctep_disease_term	Plasma Cell Myeloma
diagnosis	ctep_disease_term	Prostate Carcinoma
diagnosis	ctep_disease_term	Small Cell Lung Carcinoma
diagnosis	date_of_diagnosis	NA
diagnosis	diagnosis_record_id	STRING
diagnosis	histological_subtype	STRING
diagnosis	histology	STRING
diagnosis	meddra_disease_code	10000884
diagnosis	meddra_disease_code	10006190
diagnosis	meddra_disease_code	10010029
diagnosis	meddra_disease_code	10017760
diagnosis	meddra_disease_code	10028566
diagnosis	meddra_disease_code	10029514
diagnosis	meddra_disease_code	10033159
diagnosis	meddra_disease_code	10036910
diagnosis	meddra_disease_code	10041071
diagnosis	meddra_disease_code	10053571
diagnosis	meddra_disease_code	10066354
diagnosis	primary_diagnosis_disease_group	Acute myeloid leukemia, NOS
diagnosis	primary_diagnosis_disease_group	Adenocarcinoma of the gastroesophageal junction
diagnosis	primary_diagnosis_disease_group	Colorectal cancer, NOS
diagnosis	primary_diagnosis_disease_group	Esophageal cancer, NOS
diagnosis	primary_diagnosis_disease_group	Fallopian tube carcinoma
diagnosis	primary_diagnosis_disease_group	Gastric cancer, NOS
diagnosis	primary_diagnosis_disease_group	Invasive breast carcinoma
diagnosis	primary_diagnosis_disease_group	Melanoma
diagnosis	primary_diagnosis_disease_group	Myeloma, NOS
diagnosis	primary_diagnosis_disease_group	Non-small cell lung cancer, NOS
diagnosis	primary_diagnosis_disease_group	Ovarian epithelial cancer
diagnosis	primary_diagnosis_disease_group	Primary peritoneal carcinoma
diagnosis	primary_diagnosis_disease_group	Prostate cancer, NOS
diagnosis	primary_diagnosis_disease_group	Small cell lung cancer
diagnosis	primary_disease_site	STRING
diagnosis	snomed_disease_code	109989006
diagnosis	snomed_disease_code	128922003
diagnosis	snomed_disease_code	17788007
diagnosis	snomed_disease_code	188717001
diagnosis	snomed_disease_code	2092003
diagnosis	snomed_disease_code	2142002
diagnosis	snomed_disease_code	253000007
diagnosis	snomed_disease_code	254582000
diagnosis	snomed_disease_code	254626006
diagnosis	snomed_disease_code	254632001
diagnosis	snomed_disease_code	254633006
diagnosis	snomed_disease_code	254634000
diagnosis	snomed_disease_code	254637007
diagnosis	snomed_disease_code	254730000
diagnosis	snomed_disease_code	254731001
diagnosis	snomed_disease_code	254838004
diagnosis	snomed_disease_code	254900004
diagnosis	snomed_disease_code	269533000
diagnosis	snomed_disease_code	276803003
diagnosis	snomed_disease_code	28899001
diagnosis	snomed_disease_code	35917007
diagnosis	snomed_disease_code	37138001
diagnosis	snomed_disease_code	372244006
diagnosis	snomed_disease_code	399068003
diagnosis	snomed_disease_code	399490008
diagnosis	snomed_disease_code	399730005
diagnosis	snomed_disease_code	402815007
diagnosis	snomed_disease_code	408645001
diagnosis	snomed_disease_code	408647009
diagnosis	snomed_disease_code	428054006
diagnosis	snomed_disease_code	443961001
diagnosis	snomed_disease_code	448993007
diagnosis	snomed_disease_code	55921005
diagnosis	snomed_disease_code	55921005a
diagnosis	snomed_disease_code	55921005b
diagnosis	snomed_disease_code	70594002
diagnosis	snomed_disease_code	72495009
diagnosis	snomed_disease_code	74364000
diagnosis	snomed_disease_code	93655004
diagnosis	snomed_disease_term	Acute Myeloid Leukemia
diagnosis	snomed_disease_term	Adenocarcinoma
diagnosis	snomed_disease_term	Amelanotic Melanoma
diagnosis	snomed_disease_term	Breast Carcinoma
diagnosis	snomed_disease_term	Colon Adenoma
diagnosis	snomed_disease_term	Colon Carcinoma
diagnosis	snomed_disease_term	Colorectal Adenocarcinoma
diagnosis	snomed_disease_term	Cutaneous Melanoma
diagnosis	snomed_disease_term	Epithelioid Cell Melanoma
diagnosis	snomed_disease_term	Esophageal Adenocarcinoma
diagnosis	snomed_disease_term	Gastric Adenocarcinoma
diagnosis	snomed_disease_term	Lung Adenocarcinoma
diagnosis	snomed_disease_term	Lung Carcinoma
diagnosis	snomed_disease_term	Melanoma
diagnosis	snomed_disease_term	Mucinous Adenocarcinoma
diagnosis	snomed_disease_term	Multiple myeloma
